enterprise_id,enterprise_type,fiscal_quarter,revenue_inr,raw_material_cost,energy_cost,logistics_cost,labour_cost,opex_total,capex,gst_input_credit,gst_output_tax,gst_refund_claimed,gst_refund_anomaly,export_incentive_claimed,bank_od_utilization_pct,related_party_txn_pct,is_shell_entity
UDYAM-TN-07-23-0291477,Micro,2024Q3,232570,106192,12662,16891,51525,187269,979,32734,41863,32734,0,2272,16.6,5.3,0
UDYAM-TN-07-23-0291477,Micro,2024Q4,172499,83973,15174,16906,35013,151066,4395,23011,31050,23011,0,4849,81.1,5.3,0
UDYAM-TN-21-21-0687278,Micro,2022Q1,298305,109670,19393,19967,39769,188799,6529,28724,53695,28724,0,3602,18.5,2.1,0
UDYAM-TN-21-21-0687278,Micro,2022Q2,360176,128049,26267,29289,55165,238770,14781,41249,64832,41249,0,11581,23.2,2.1,0
UDYAM-TN-21-21-0687278,Micro,2022Q3,250855,119098,26155,23680,26091,195023,8872,28468,45154,28468,0,6995,10.2,2.1,0
UDYAM-TN-21-21-0687278,Micro,2022Q4,260560,114224,29858,15883,39701,199666,9502,29958,46901,29958,0,1776,80.4,2.1,0
UDYAM-TN-21-21-0687278,Micro,2023Q1,283278,130722,33003,14174,41191,219090,86,37995,50990,37995,0,3209,60.7,2.1,0
UDYAM-TN-21-21-0687278,Micro,2023Q2,347636,126308,28948,18448,82768,256473,10969,46032,62575,46032,0,13974,50.4,2.1,0
UDYAM-TN-21-21-0687278,Micro,2023Q3,252728,125838,14417,18087,39454,197797,5367,31262,45491,31262,0,8375,51.2,2.1,0
UDYAM-TN-21-21-0687278,Micro,2023Q4,201267,76140,22144,13878,24998,137160,1611,21429,36228,21429,0,3527,76.7,2.1,0
UDYAM-TN-21-21-0687278,Micro,2024Q1,248196,79326,15832,22503,49737,167398,12297,24529,44675,24529,0,9836,77.2,2.1,0
UDYAM-TN-21-21-0687278,Micro,2024Q2,293801,110629,24617,15677,44096,195018,5902,29924,52884,29924,0,2396,26.8,2.1,0
UDYAM-TN-21-21-0687278,Micro,2024Q3,333682,102642,28712,24927,45954,202235,10026,36387,60063,36387,0,3554,54.7,2.1,0
UDYAM-TN-21-21-0687278,Micro,2024Q4,228490,73149,17554,15948,24082,130732,10371,22201,41128,22201,0,973,82.8,2.1,0
UDYAM-TN-17-20-0713329,Small,2022Q1,23232430,7084311,2064692,1952915,3524826,14626744,905046,2292601,4181837,2292601,0,72408,32.2,4.0,0
UDYAM-TN-17-20-0713329,Small,2022Q2,28012487,11291717,2005845,2757738,6263447,22318747,551807,3830041,5042248,3830041,0,698381,12.0,4.0,0
UDYAM-TN-17-20-0713329,Small,2022Q3,20345015,9907652,1843830,1716586,3301671,16769739,410557,2429386,3662103,2429386,0,375019,81.3,4.0,0
UDYAM-TN-17-20-0713329,Small,2022Q4,15808530,7445749,910194,807957,2075335,11239236,664679,1749877,2845535,1749877,0,594392,13.8,4.0,0
UDYAM-TN-17-20-0713329,Small,2023Q1,22450549,6899030,1635659,2117240,4341368,14993297,811457,2445218,4041099,2445218,0,639576,48.8,4.0,0
UDYAM-TN-17-20-0713329,Small,2023Q2,21837409,8904943,1370220,2166633,4610783,17052579,511296,2949427,3930734,2949427,0,973389,15.8,4.0,0
UDYAM-TN-17-20-0713329,Small,2023Q3,18597511,9170309,1162805,1225252,3655164,15213531,503782,2714282,3347552,2714282,0,536542,72.4,4.0,0
UDYAM-TN-17-20-0713329,Small,2023Q4,18164117,6294943,1905527,1467238,2458091,12125799,614238,1985755,3269541,1985755,0,480649,81.0,4.0,0
UDYAM-TN-17-20-0713329,Small,2024Q1,19214057,7496385,1802850,1419250,4156117,14874603,947585,2172236,3458530,2172236,0,628759,38.3,4.0,0
UDYAM-TN-17-20-0713329,Small,2024Q2,24240268,11874769,1703759,2068559,4084465,19731552,271129,3464656,4363248,3464656,0,1070609,53.6,4.0,0
UDYAM-TN-17-20-0713329,Small,2024Q3,21437773,6739480,2520361,1456115,3792026,14507982,819397,2597423,3858799,2597423,0,115825,62.3,4.0,0
UDYAM-TN-17-20-0713329,Small,2024Q4,18677032,8003308,1996575,1460395,2630134,14090413,798843,2445851,3361866,2445851,0,507486,65.5,4.0,0
UDYAM-TN-21-23-0020423,Micro,2022Q1,67342,32078,7942,6183,10775,56977,1045,8660,12122,8660,0,2089,59.7,12.1,0
UDYAM-TN-21-23-0020423,Micro,2022Q2,103289,45842,7179,6088,21573,80682,687,13845,18592,13845,0,5029,55.1,12.1,0
UDYAM-TN-21-23-0020423,Micro,2022Q3,86831,34247,4831,6609,10003,55689,2529,8932,15630,8932,0,1491,66.4,12.1,0
UDYAM-TN-21-23-0020423,Micro,2022Q4,76206,33071,6617,4120,15849,59657,1290,10597,13717,10597,0,2636,79.8,12.1,0
UDYAM-TN-21-23-0020423,Micro,2023Q1,69020,21360,7918,6588,8202,44068,312,7817,12424,7817,0,1999,45.8,12.1,0
UDYAM-TN-21-23-0020423,Micro,2023Q2,86525,31651,6351,5722,11290,55014,1973,8439,15574,8439,0,483,59.9,12.1,0
UDYAM-TN-21-23-0020423,Micro,2023Q3,88695,38993,5807,5628,13388,63816,4216,9940,15965,9940,0,858,86.5,12.1,0
UDYAM-TN-21-23-0020423,Micro,2023Q4,60431,29025,4713,3840,10536,48114,2666,7283,10878,7283,0,2893,43.4,12.1,0
UDYAM-TN-21-23-0020423,Micro,2024Q1,83382,38445,8033,4671,19243,70391,2041,12071,15009,12071,0,2895,62.2,12.1,0
UDYAM-TN-21-23-0020423,Micro,2024Q2,109340,34063,6023,10562,18291,68939,2408,12273,19681,12273,0,646,51.7,12.1,0
UDYAM-TN-21-23-0020423,Micro,2024Q3,73750,33175,5044,4513,12679,55412,436,8981,13275,8981,0,3413,10.8,12.1,0
UDYAM-TN-21-23-0020423,Micro,2024Q4,56583,20162,5636,4104,5953,35855,848,6197,10185,6197,0,2029,68.3,12.1,0
UDYAM-TN-24-23-0943314,Micro,2022Q1,1291538,507561,100895,67154,243516,919127,22535,157187,232477,157187,0,18258,57.6,5.1,0
UDYAM-TN-24-23-0943314,Micro,2022Q2,1184097,387297,137446,95332,243739,863814,1766,128548,213137,128548,0,44629,61.6,5.1,0
UDYAM-TN-24-23-0943314,Micro,2022Q3,1145532,358738,80522,79878,216975,736113,8046,128617,206196,128617,0,47445,15.7,5.1,0
UDYAM-TN-24-23-0943314,Micro,2022Q4,1091225,388720,90031,89335,249557,817643,44555,119781,196421,119781,0,43807,34.2,5.1,0
UDYAM-TN-24-23-0943314,Micro,2023Q1,1241451,382172,89278,86606,213974,772030,18993,116390,223461,116390,0,8343,51.0,5.1,0
UDYAM-TN-24-23-0943314,Micro,2023Q2,1236752,393093,85168,73063,139378,690701,14244,118240,222615,118240,0,27508,23.1,5.1,0
UDYAM-TN-24-23-0943314,Micro,2023Q3,1413205,566510,100075,126859,176988,970432,23712,144246,254377,144246,0,20318,40.4,5.1,0
UDYAM-TN-24-23-0943314,Micro,2023Q4,934578,443166,65102,83013,99242,690523,1823,115532,168224,115532,0,33118,67.4,5.1,0
UDYAM-TN-24-23-0943314,Micro,2024Q1,1003564,345073,79005,55660,159661,639399,40371,113098,180642,113098,0,36323,71.7,5.1,0
UDYAM-TN-24-23-0943314,Micro,2024Q2,1594088,480395,140976,89636,185998,897005,16782,135483,286936,135483,0,11276,37.3,5.1,0
UDYAM-TN-24-23-0943314,Micro,2024Q3,1250587,601333,95796,103433,292346,1092906,47726,167317,225106,167317,0,21814,14.5,5.1,0
UDYAM-TN-24-23-0943314,Micro,2024Q4,1027011,370324,109247,76259,141046,696875,30707,122014,184862,122014,0,27130,72.5,5.1,0
UDYAM-TN-28-22-0444155,Micro,2022Q1,79106,24540,6307,4107,9353,44306,670,7422,14239,7422,0,1494,79.8,9.8,0
UDYAM-TN-28-22-0444155,Micro,2022Q2,90862,34944,9933,6374,16015,67266,1875,10413,16355,10413,0,4266,24.0,9.8,0
UDYAM-TN-28-22-0444155,Micro,2022Q3,93690,43068,9654,5587,13095,71404,4142,12224,16864,12224,0,2145,11.4,9.8,0
UDYAM-TN-28-22-0444155,Micro,2022Q4,62224,21580,4964,3981,14772,45296,98,7420,11200,7420,0,3038,10.7,9.8,0
UDYAM-TN-28-22-0444155,Micro,2023Q1,82383,38285,6333,4420,17132,66171,3524,11490,14829,11490,0,3280,28.9,9.8,0
UDYAM-TN-28-22-0444155,Micro,2023Q2,93638,40194,5264,5529,23327,74314,1237,11965,16855,11965,0,1399,76.1,9.8,0
UDYAM-TN-28-22-0444155,Micro,2023Q3,67904,21217,4963,4723,12266,43169,10,7099,12223,7099,0,149,89.7,9.8,0
UDYAM-TN-28-22-0444155,Micro,2023Q4,68978,26851,5416,3633,14884,50783,2033,8443,12416,8443,0,1001,22.9,9.8,0
UDYAM-TN-28-22-0444155,Micro,2024Q1,77367,30709,8309,5697,8788,53503,766,8136,13926,8136,0,2409,21.1,9.8,0
UDYAM-TN-28-22-0444155,Micro,2024Q2,92142,32360,10652,8554,20887,72454,2420,10616,16586,10616,0,814,51.4,9.8,0
UDYAM-TN-28-22-0444155,Micro,2024Q3,84034,28200,6293,4340,11338,50171,1468,7741,15126,7741,0,2234,63.1,9.8,0
UDYAM-TN-28-22-0444155,Micro,2024Q4,54847,23866,3564,4818,10713,42961,2237,7124,9872,7124,0,2282,15.5,9.8,0
UDYAM-TN-16-21-0426157,Small,2022Q1,5419300,2208255,462529,471611,1167014,4309408,252169,668434,975474,668434,0,109175,55.7,0.9,0
UDYAM-TN-16-21-0426157,Small,2022Q2,9153364,3368151,905730,630611,2143420,7047913,389493,1091654,1647606,1091654,0,393120,45.8,0.9,0
UDYAM-TN-16-21-0426157,Small,2022Q3,5211857,2135758,409454,295014,854358,3694584,204984,639920,938134,639920,0,7179,25.8,0.9,0
UDYAM-TN-16-21-0426157,Small,2022Q4,4516388,1740950,453597,238034,694385,3126966,138569,517423,812950,517423,0,23015,53.6,0.9,0
UDYAM-TN-16-21-0426157,Small,2023Q1,7224346,3518936,840484,527918,1748335,6635673,186046,1168683,1300382,1168683,0,154009,26.9,0.9,0
UDYAM-TN-16-21-0426157,Small,2023Q2,7682158,2564832,679059,718685,1426258,5388833,87012,777062,1382789,777062,0,307207,26.1,0.9,0
UDYAM-TN-16-21-0426157,Small,2023Q3,6629899,3227105,335719,431235,1125708,5119767,70879,851029,1193382,851029,0,147542,14.4,0.9,0
UDYAM-TN-16-21-0426157,Small,2023Q4,4294137,1349688,232431,316109,1028780,2927007,142233,470717,772945,470717,0,154628,57.6,0.9,0
UDYAM-TN-16-21-0426157,Small,2024Q1,7276386,3526435,795480,563686,1188999,6074600,266234,898383,1309750,898383,0,107128,77.2,0.9,0
UDYAM-TN-16-21-0426157,Small,2024Q2,8581291,3212818,997114,570123,1049857,5829912,137328,937192,1544632,937192,0,315382,37.0,0.9,0
UDYAM-TN-16-21-0426157,Small,2024Q3,6253757,2145366,395123,548871,1310480,4399840,114493,638471,1125676,638471,0,1889,81.3,0.9,0
UDYAM-TN-16-21-0426157,Small,2024Q4,5602806,2622083,627830,299152,1383676,4932742,111254,729441,1008505,729441,0,47579,73.1,0.9,0
UDYAM-TN-05-21-0423390,Micro,2022Q1,1678734,540708,108467,143211,389734,1182120,28372,211490,302172,211490,0,12771,43.8,8.9,0
UDYAM-TN-05-21-0423390,Micro,2022Q2,2130276,870999,229409,186512,313462,1600382,40727,247125,383450,247125,0,69034,11.4,8.9,0
UDYAM-TN-05-21-0423390,Micro,2022Q3,1327361,524826,89461,80456,324178,1018921,22347,176925,238925,176925,0,8392,78.2,8.9,0
UDYAM-TN-05-21-0423390,Micro,2022Q4,1443586,548339,146325,97931,240440,1033035,45221,149720,259845,149720,0,38424,29.2,8.9,0
UDYAM-TN-05-21-0423390,Micro,2023Q1,1454298,655038,134792,89295,174152,1053277,6106,154834,261774,154834,0,2973,54.8,8.9,0
UDYAM-TN-05-21-0423390,Micro,2023Q2,1878805,738883,202657,127577,357153,1426270,67813,228514,338185,228514,0,13282,82.6,8.9,0
UDYAM-TN-05-21-0423390,Micro,2023Q3,1453972,454859,166488,115219,145671,882237,56760,147233,261715,147233,0,7242,28.5,8.9,0
UDYAM-TN-05-21-0423390,Micro,2023Q4,1380747,587823,92144,83758,274502,1038227,38841,175084,248534,175084,0,64941,62.9,8.9,0
UDYAM-TN-05-21-0423390,Micro,2024Q1,1486532,492320,163264,119469,173556,948609,29247,149875,267576,149875,0,1433,57.7,8.9,0
UDYAM-TN-05-21-0423390,Micro,2024Q2,1965077,715984,199254,163195,407956,1486390,22658,240166,353714,240166,0,16405,81.0,8.9,0
UDYAM-TN-05-21-0423390,Micro,2024Q3,1727163,566835,101194,149506,210016,1027551,16744,165458,310889,165458,0,41931,55.7,8.9,0
UDYAM-TN-05-21-0423390,Micro,2024Q4,1254453,598194,134375,89024,154467,976060,61755,155736,225802,155736,0,32073,47.3,8.9,0
UDYAM-TN-05-21-0387478,Medium,2022Q1,36282901,11719108,2642110,3550551,6571578,24483348,679978,3567624,6530922,3567624,0,750310,87.7,4.5,0
UDYAM-TN-05-21-0387478,Medium,2022Q2,38811986,19139383,4612844,3323394,4617818,31693439,1850391,5338339,6986158,5338339,0,577094,63.7,4.5,0
UDYAM-TN-05-21-0387478,Medium,2022Q3,25927838,12032727,2898114,1768743,2624387,19323972,417918,2808403,4667011,2808403,0,308208,92.3,4.5,0
UDYAM-TN-05-21-0387478,Medium,2022Q4,28675002,13587270,2946816,2383476,7070409,25987971,891913,4404580,5161500,4404580,0,1349218,31.5,4.5,0
UDYAM-TN-05-21-0387478,Medium,2023Q1,35143025,10968936,3832993,2726281,5050271,22578481,918722,3415258,6325745,3415258,0,1529239,79.4,4.5,0
UDYAM-TN-05-21-0387478,Medium,2023Q2,35768359,11181253,4157647,3299350,3705596,22343847,1198430,3528936,6438305,3528936,0,747448,34.5,4.5,0
UDYAM-TN-05-21-0387478,Medium,2023Q3,28557419,9617072,2170148,2253765,3330897,17371882,331568,2949496,5140335,2949496,0,1239783,13.7,4.5,0
UDYAM-TN-05-21-0387478,Medium,2023Q4,28916109,12992141,2869484,1464556,6838433,24164614,892681,4338230,5204900,4338230,0,1190344,44.6,4.5,0
UDYAM-TN-05-21-0387478,Medium,2024Q1,36345208,15723081,3387483,2389068,8490521,29990153,582223,4937342,6542137,4937342,0,558141,12.9,4.5,0
UDYAM-TN-05-21-0387478,Medium,2024Q2,43050948,16201556,3170474,3319560,9811075,32502665,2038877,4826243,7749171,4826243,0,498831,83.2,4.5,0
UDYAM-TN-05-21-0387478,Medium,2024Q3,35896648,11870079,1961251,2642675,7435209,23909214,326061,3541439,6461397,3541439,0,181893,16.3,4.5,0
UDYAM-TN-05-21-0387478,Medium,2024Q4,28477995,12586082,3209286,1582932,5449468,22827768,129502,3763485,5126039,3763485,0,363582,92.0,4.5,0
UDYAM-TN-18-20-0003718,Medium,2022Q1,13427498,5529854,1357567,1246730,1467097,9601248,41691,1508857,2416950,1508857,0,153521,92.9,2.4,0
UDYAM-TN-18-20-0003718,Medium,2022Q2,15434490,5873680,1594263,1395435,3806458,12669836,514061,1908973,2778208,1908973,0,521179,56.0,2.4,0
UDYAM-TN-18-20-0003718,Medium,2022Q3,14627523,4761542,1516270,913851,3551582,10743245,211674,1735986,2632954,1735986,0,218098,60.0,2.4,0
UDYAM-TN-18-20-0003718,Medium,2022Q4,11070831,5427480,556355,903223,1490026,8377085,254632,1401811,1992750,1401811,0,217604,32.0,2.4,0
UDYAM-TN-18-20-0003718,Medium,2023Q1,12196684,5804096,811036,617387,2667210,9899728,595784,1532325,2195403,1532325,0,301195,52.0,2.4,0
UDYAM-TN-18-20-0003718,Medium,2023Q2,19309735,8743682,2184726,1580317,3482832,15991557,267744,2630285,3475752,2630285,0,698368,16.9,2.4,0
UDYAM-TN-18-20-0003718,Medium,2023Q3,15087973,5020667,948149,1472030,1892415,9333261,365716,1672096,2715835,1672096,0,423430,88.1,2.4,0
UDYAM-TN-18-20-0003718,Medium,2023Q4,11577945,3812204,1330668,863318,1877192,7883382,421373,1253484,2084030,1253484,0,136647,25.4,2.4,0
UDYAM-TN-18-20-0003718,Medium,2024Q1,16237312,6517062,1280186,1021594,3178880,11997722,410666,1851804,2922716,1851804,0,616191,11.0,2.4,0
UDYAM-TN-18-20-0003718,Medium,2024Q2,15294979,6144545,1821670,815103,1653431,10434749,447497,1785658,2753096,1785658,0,236723,39.8,2.4,0
UDYAM-TN-18-20-0003718,Medium,2024Q3,16282327,8027951,1087577,947571,3597283,13660381,704544,2021773,2930819,2021773,0,68700,44.4,2.4,0
UDYAM-TN-18-20-0003718,Medium,2024Q4,12278247,4064025,635313,660843,1711375,7071557,188988,1033382,2210084,1033382,0,471679,91.0,2.4,0
UDYAM-TN-27-21-0970734,Micro,2022Q1,213675,85212,18918,20737,45840,170706,6501,24862,38462,24862,0,6633,67.0,12.2,0
UDYAM-TN-27-21-0970734,Micro,2022Q2,355308,134489,34144,21562,66782,256976,4709,37358,63955,37358,0,16249,18.6,12.2,0
UDYAM-TN-27-21-0970734,Micro,2022Q3,208072,89556,17543,10514,41446,159059,9001,26588,37453,26588,0,5177,91.2,12.2,0
UDYAM-TN-27-21-0970734,Micro,2022Q4,168879,58544,11129,12831,26112,108617,3999,16067,30398,16067,0,4390,45.8,12.2,0
UDYAM-TN-27-21-0970734,Micro,2023Q1,295803,113732,19045,16941,52479,202196,6429,34662,53245,34662,0,10624,21.6,12.2,0
UDYAM-TN-27-21-0970734,Micro,2023Q2,311299,99592,34953,30600,44300,209444,5104,35243,56034,35243,0,8444,60.4,12.2,0
UDYAM-TN-27-21-0970734,Micro,2023Q3,262791,125166,19922,24875,37601,207564,9852,33440,47302,33440,0,2677,53.5,12.2,0
UDYAM-TN-27-21-0970734,Micro,2023Q4,211971,100415,24932,12888,41353,179589,5685,28296,38155,28296,0,2409,40.8,12.2,0
UDYAM-TN-27-21-0970734,Micro,2024Q1,251270,81158,20302,22134,55393,178987,413,29520,45229,29520,0,9848,40.1,12.2,0
UDYAM-TN-27-21-0970734,Micro,2024Q2,319566,107310,18656,22942,42753,191661,9015,32174,57522,32174,0,5260,34.9,12.2,0
UDYAM-TN-27-21-0970734,Micro,2024Q3,233225,84078,23170,11770,36638,155657,8623,27466,41980,27466,0,1621,22.0,12.2,0
UDYAM-TN-27-21-0970734,Micro,2024Q4,187072,85178,22418,15509,40838,163943,7845,27733,33673,27733,0,201,47.2,12.2,0
UDYAM-TN-18-22-0672643,Small,2022Q1,11011130,4977255,906685,882962,1539664,8306566,2156,1270928,1982003,1270928,0,289756,27.4,0.4,0
UDYAM-TN-18-22-0672643,Small,2022Q2,16169553,6386861,902317,900137,2721256,10910572,299128,1890382,2910520,1890382,0,740710,91.8,0.4,0
UDYAM-TN-18-22-0672643,Small,2022Q3,9538091,3513364,869333,484700,1514364,6381761,139337,1043027,1716856,1043027,0,217579,91.6,0.4,0
UDYAM-TN-18-22-0672643,Small,2022Q4,9037979,3932649,488719,758535,1536530,6716434,425173,1057632,1626836,1057632,0,228599,59.7,0.4,0
UDYAM-TN-18-22-0672643,Small,2023Q1,9778659,3806423,1064235,908979,2075819,7855456,124324,1368241,1760159,1368241,0,194077,90.4,0.4,0
UDYAM-TN-18-22-0672643,Small,2023Q2,14227062,5840903,1476279,1229149,2013610,10559942,378735,1644012,2560871,1644012,0,416773,71.0,0.4,0
UDYAM-TN-18-22-0672643,Small,2023Q3,10609945,3586447,844891,663586,2501594,7596517,371422,1166153,1909790,1166153,0,22181,15.8,0.4,0
UDYAM-TN-18-22-0672643,Small,2023Q4,10045396,4316163,668034,639882,1551649,7175728,119336,1189660,1808171,1189660,0,153929,61.2,0.4,0
UDYAM-TN-18-22-0672643,Small,2024Q1,12443742,5582144,650437,896924,2032267,9161772,193824,1527962,2239874,1527962,0,418595,84.9,0.4,0
UDYAM-TN-18-22-0672643,Small,2024Q2,15683630,6414167,1344893,1487018,2786117,12032195,311509,1865739,2823053,1865739,0,544871,90.7,0.4,0
UDYAM-TN-18-22-0672643,Small,2024Q3,11184259,4661630,1321749,804611,1232920,8020910,175811,1439373,2013167,1439373,0,209041,64.1,0.4,0
UDYAM-TN-18-22-0672643,Small,2024Q4,10446439,4302609,718401,653845,1892278,7567133,33666,1294063,1880359,1294063,0,377185,19.1,0.4,0
UDYAM-TN-13-22-0452249,Micro,2022Q1,867784,295277,52366,51751,198313,597708,33146,97785,156201,97785,0,5483,43.1,4.7,0
UDYAM-TN-13-22-0452249,Micro,2022Q2,1215615,559867,91448,64326,264368,980009,43892,147770,218811,147770,0,3841,92.3,4.7,0
UDYAM-TN-13-22-0452249,Micro,2022Q3,1085383,456600,109309,81236,179351,826497,46383,134008,195369,134008,0,39430,47.9,4.7,0
UDYAM-TN-13-22-0452249,Micro,2022Q4,753285,340199,55741,37919,119865,553723,13747,80113,135591,80113,0,28237,17.7,4.7,0
UDYAM-TN-13-22-0452249,Micro,2023Q1,909631,413522,82483,57364,225369,778738,37550,131696,163734,131696,0,20613,46.6,4.7,0
UDYAM-TN-13-22-0452249,Micro,2023Q2,1110166,416051,93783,97338,256173,863345,36161,149000,199830,149000,0,44148,41.5,4.7,0
UDYAM-TN-13-22-0452249,Micro,2023Q3,1157547,359274,67294,67573,256583,750725,47835,122363,208358,122363,0,28780,64.5,4.7,0
UDYAM-TN-13-22-0452249,Micro,2023Q4,887360,334043,74042,72932,198584,679601,10911,121484,159725,121484,0,1502,30.5,4.7,0
UDYAM-TN-13-22-0452249,Micro,2024Q1,1193862,483657,119190,105492,150955,859294,38291,153573,214895,153573,0,9253,28.2,4.7,0
UDYAM-TN-13-22-0452249,Micro,2024Q2,1106407,503279,85009,70091,222894,881272,31050,140814,199153,140814,0,10908,79.4,4.7,0
UDYAM-TN-13-22-0452249,Micro,2024Q3,986724,307355,50357,84420,174909,617042,22395,89677,177610,89677,0,6677,66.3,4.7,0
UDYAM-TN-13-22-0452249,Micro,2024Q4,867742,299924,95874,61525,185168,642492,31063,96303,156194,96303,0,13799,16.0,4.7,0
UDYAM-TN-38-22-0487576,Small,2022Q1,7483573,2366572,666829,379197,865993,4278590,267533,746981,1347043,746981,0,277486,68.1,11.9,0
UDYAM-TN-38-22-0487576,Small,2022Q2,7842096,2873221,907510,700792,835321,5316844,133510,942304,1411577,942304,0,237706,81.6,11.9,0
UDYAM-TN-38-22-0487576,Small,2022Q3,7880402,2627787,527174,606267,1065253,4826481,317196,864874,1418472,864874,0,309910,38.8,11.9,0
UDYAM-TN-38-22-0487576,Small,2022Q4,6795815,2487850,460748,598085,1653699,5200382,64921,830293,1223247,830293,0,207896,91.6,11.9,0
UDYAM-TN-38-22-0487576,Small,2023Q1,7604597,3152712,545015,716611,1438125,5852463,25710,1052941,1368828,1052941,0,274130,40.7,11.9,0
UDYAM-TN-38-22-0487576,Small,2023Q2,8337157,3102429,582858,546139,1269680,5501107,388774,959458,1500688,959458,0,264262,39.9,11.9,0
UDYAM-TN-38-22-0487576,Small,2023Q3,7515497,2639332,491791,556170,764115,4451408,347356,723755,1352789,723755,0,172694,56.1,11.9,0
UDYAM-TN-38-22-0487576,Small,2023Q4,5088005,1805974,401318,297517,921176,3425985,178768,533540,915841,533540,0,168981,73.9,11.9,0
UDYAM-TN-38-22-0487576,Small,2024Q1,7332703,3279217,426824,588032,1800942,6095016,140524,932613,1319887,932613,0,65966,27.0,11.9,0
UDYAM-TN-38-22-0487576,Small,2024Q2,8629960,2813017,507848,722026,1462722,5505613,44318,983995,1553393,983995,0,420009,61.3,11.9,0
UDYAM-TN-38-22-0487576,Small,2024Q3,8870661,2691402,471384,444545,1469499,5076830,162034,804783,1596719,804783,0,138319,61.9,11.9,0
UDYAM-TN-38-22-0487576,Small,2024Q4,5715774,2363799,388995,368787,1107668,4229249,38918,700024,1028839,700024,0,78706,74.1,11.9,0
UDYAM-TN-01-20-0816233,Micro,2022Q1,191281,59140,10114,13244,20831,103330,628,16187,34431,16187,0,3266,84.5,7.8,0
UDYAM-TN-01-20-0816233,Micro,2022Q2,336568,120969,32309,23737,61545,238560,2675,38921,60582,38921,0,7736,59.0,7.8,0
UDYAM-TN-01-20-0816233,Micro,2022Q3,268136,91092,30751,23936,48918,194698,4733,33399,48264,33399,0,5589,29.8,7.8,0
